NV02,Nguyễn Quốc Việt,12/02/1993,Nam,209909879,0987876753,v@gmail.com,Đại học,Lễ tân,12000000
NV03,Nguyễn Quốc Việt,12/12/1993,Nam,205567682,0909090909,v@gmail.com,Đại học,Gíam đốc,2000000
NV01,Nguyễn Quốc Biệt,12/12/1993,Nam,205567682,0909090909,v@gmail.com,Đại học,Gíam đốc,2000000
NV04,Nguyễn Quốc Ciệt,12/12/1993,Nam,205567682,0909090909,v@gmail.com,Đại học,Gíam đốc,2000000
NV06,Nguyễn Quốc Ciệt,12/12/1993,Nam,205567682,0909090909,v@gmail.com,Đại học,Giám đốc,2000000
NV05,Nguyễn Quốc Ciệt,12/12/1993,Nam,205567682,0909090909,v@gmail.com,Đại học,Giám đốc,2000000





